q975,q750,q500,q250,q025
0.030900876897495412,0.01859768234490694,0.013999465670584278,0.010382474820865458,0.006217423536131994
0.03241849432176569,0.021832560776154322,0.015963814557902634,0.013557243263008247,0.00832968569966214
0.045170229202850486,0.025391650590644577,0.01870551788457302,0.01310481577811733,0.007877182441722384
0.1097706331300579,0.08447526332709919,0.07512734083822716,0.06528782447238288,0.050016523646422485
0.12202415288118895,0.09723004111597372,0.0888143959104747,0.08262627907386161,0.0676371144371479
0.08216857172774726,0.06843272876616724,0.06027541107734845,0.05357895782908943,0.0426698273301171
0.028198308384498792,0.019246899029254402,0.015993497765382135,0.013514112244136907,0.008576006619686934
0.022940580605358224,0.017727359504890974,0.013725588743652367,0.01104408207243402,0.006560547125114651
0.12733216121392238,0.10168031969681957,0.09000030043680819,0.08052925087453791,0.061751384703325786
0.02513162207077042,0.018279263625177324,0.016114011488693836,0.013826210112723648,0.009788397849814591
0.0835776438418888,0.07490263897469385,0.07038885251974174,0.06417776553732818,0.0548557971663742
0.033835952436253994,0.0266533382852255,0.022040194623575322,0.01940079335298802,0.01449472368701558
0.049136443066360676,0.043078433986322974,0.03872454395303479,0.03439410743875506,0.02479305531667019
0.03396827803779928,0.023651326773616484,0.01921079366833803,0.01468235751781011,0.011932764274585572
0.02551782057599229,0.015251123548425668,0.012813509412492784,0.010575064452564275,0.006397884491884353
0.027016876374166224,0.021172418316988087,0.018544769057558277,0.015750635013741864,0.013016661777848843
0.02776212882194225,0.021134315181095972,0.018246655482133438,0.015417996533173283,0.011547291184504564
0.0287684093145393,0.022222900645288098,0.01897944677596751,0.015936598450765636,0.011083522602898858
0.04874753005075902,0.04136073720788157,0.03744497482944163,0.032709751108926696,0.027279176504805356
0.07012050764190567,0.057280704287243474,0.053471889171352184,0.04703845582106832,0.038335944531723676
0.04569002572191656,0.03558979063662514,0.03161701125865613,0.028176799428883847,0.024779065359629864
0.08483273308147542,0.07194014436613509,0.06411420795967616,0.059101519612893824,0.04788173580596958
0.09129592444945486,0.07100994263329975,0.06446089983493918,0.05792710188271115,0.04563715651982075
0.11033338580420177,0.09114991429373741,0.08451400350589333,0.07821358363467171,0.06947201513996148
0.12854787527538025,0.1071952185433157,0.09881996435274891,0.09285806977294445,0.07315525428360545
0.040525026826034795,0.027937038329191227,0.023557553103441518,0.019407330295528727,0.016525324953688914
0.09224072106150293,0.07522488090853577,0.07045129717945317,0.06254430525948732,0.05221477565387548
0.11914849840991798,0.10071791468037433,0.09252130549127398,0.08728860445700148,0.07635073440626537
0.1319275430799254,0.12097659985633236,0.1106380808345353,0.10409860927209785,0.0853263054253241
0.04869215335186855,0.03640972258300244,0.030786996144290084,0.026569563201034575,0.017439175197565146
0.03333296427342846,0.02537288239393609,0.020834555086091333,0.017282645201095473,0.012273262707874204
0.12777335203134846,0.11095837300444662,0.10254401778862551,0.09643907825482287,0.07857365308820921
0.03308841564555939,0.02468775828163918,0.022364383180369037,0.020082787801821995,0.016118306329098126
0.06418259397074828,0.05037794519810737,0.045633938839909675,0.041540325377324605,0.0361139313996605
0.027858988300464634,0.02193031599151951,0.01917541235603924,0.015753737587105902,0.012908672442452711
0.052303342644923215,0.04079289710356277,0.03551772907395647,0.03187579341945691,0.026563442369290896
0.0801844486946103,0.0692440695511923,0.06295965417198034,0.05796316666069326,0.047909768754796495
0.11014489106548503,0.09458262990348223,0.08748180466403813,0.08251049097640274,0.07379909968461368
0.11472007004653076,0.0974943230998013,0.08949866584951294,0.08266114464324675,0.0630807091986334
0.029700626199883787,0.020869421855648183,0.017818364019289865,0.014318078711125764,0.010251666658702648
0.02984336853841631,0.02296169689290417,0.019416860450078514,0.01718356934015949,0.012857093230740746
0.04313000963349002,0.02910236245804268,0.024477614543574097,0.019039424534435093,0.01448779267512085
0.08465580899055619,0.06293625192491205,0.05641476471374596,0.05035713634314842,0.035358488917390095
0.05205022961468861,0.043203823530563554,0.03594017026986726,0.032100884121810884,0.026464490525381218
0.027937220413030435,0.02297106723794476,0.018581144283753966,0.016281655042443378,0.01202205214419107
